PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"40687901","Pharmacokinetics and Safety with Bioequivalence of Isosorbide Mononitrate Sustained-Release Tablets in Chinese Healthy Volunteers: Bioequivalence Study","Wu B, Wang W, Zhang Q, Yu G, Lin J, Zhang T, Ye L, Wang K, Zhang W, Wu X.","Drug Des Devel Ther. 2025 Jul 14;19:6025-6035. doi: 10.2147/DDDT.S508202. eCollection 2025.","Wu B","Drug Des Devel Ther","2025","2025/07/21","PMC12274271","","10.2147/DDDT.S508202"
"32034814","Evaluation of pharmacokinetics and safety with bioequivalence of Amlodipine in healthy Chinese volunteers: Bioequivalence Study Findings","Wang T, Wang Y, Lin S, Fang L, Lou S, Zhao D, Zhu J, Yang Q, Wang Y.","J Clin Lab Anal. 2020 Jun;34(6):e23228. doi: 10.1002/jcla.23228. Epub 2020 Feb 7.","Wang T","J Clin Lab Anal","2020","2020/02/09","PMC7307347","","10.1002/jcla.23228"
"30710324","Systemic Bioequivalence Is Unlikely to Equal Target Site Bioequivalence for Nanotechnology Oncologic Products","Au JL, Lu Z, Abbiati RA, Wientjes MG.","AAPS J. 2019 Feb 1;21(2):24. doi: 10.1208/s12248-019-0296-z.","Au JL","AAPS J","2019","2019/02/03","PMC6432930","NIHMS1009981","10.1208/s12248-019-0296-z"
"40781573","Assessment of Pharmacokinetics and Safety with Bioequivalence of the Nitroglycerin Sublingual Tablets of Two Formulations in Chinese Healthy Subjects: A Bioequivalence Study","Fu Q, Huang C, Yuan Y, Wang Y, Zhu B, Liu Y, Tian F, Xu X, Yang L, Xu Y, Wang Y.","Drugs R D. 2025 Sep;25(3):263-274. doi: 10.1007/s40268-025-00519-4. Epub 2025 Aug 8.","Fu Q","Drugs R D","2025","2025/08/09","PMC12460201","","10.1007/s40268-025-00519-4"
"24151591","Pharmacokinetics and bioequivalence evaluation of cyclobenzaprine tablets","Brioschi TM, Schramm SG, Kano EK, Koono EE, Ching TH, Serra CH, Porta V.","Biomed Res Int. 2013;2013:281392. doi: 10.1155/2013/281392. Epub 2013 Sep 16.","Brioschi TM","Biomed Res Int","2013","2013/10/24","PMC3787571","","10.1155/2013/281392"
"37384214","Evaluation of Pharmacokinetics and Safety with Bioequivalence of Ibuprofen Sustained-Release Capsules of Two Formulations, in Chinese Healthy Volunteers: Bioequivalence Study","Huang C, Yin Z, Yang Y, Mo N, Yang H, Wang Y.","Drug Des Devel Ther. 2023 Jun 23;17:1881-1888. doi: 10.2147/DDDT.S404756. eCollection 2023.","Huang C","Drug Des Devel Ther","2023","2023/06/29","PMC10295470","","10.2147/DDDT.S404756"
"28706331","Bioequivalence of generic and branded amoxicillin capsules in healthy human volunteers","Pathak P, Pandit VA, Dhande PP.","Indian J Pharmacol. 2017 Mar-Apr;49(2):176-181. doi: 10.4103/ijp.IJP_793_16.","Pathak P","Indian J Pharmacol","2017","2017/07/15","PMC5497440","","10.4103/ijp.IJP_793_16"
"20532429","Bioequivalence: tried and tested","Schall R, Endrenyi L.","Cardiovasc J Afr. 2010 Mar-Apr;21(2):69-71.","Schall R","Cardiovasc J Afr","2010","2010/06/10","PMC3721767","",""
"22087062","Bioequivalence assessment of two formulations of ibuprofen","Al-Talla ZA, Akrawi SH, Tolley LT, Sioud SH, Zaater MF, Emwas AH.","Drug Des Devel Ther. 2011;5:427-33. doi: 10.2147/DDDT.S24504. Epub 2011 Oct 19.","Al-Talla ZA","Drug Des Devel Ther","2011","2011/11/17","PMC3210071","","10.2147/DDDT.S24504"
"28379643","Integrating In Vitro, Modeling, and In Vivo Approaches to Investigate Warfarin Bioequivalence","Zhang X, Wen H, Fan J, Vince B, Li T, Gao W, Kinjo M, Brown J, Sun W, Jiang W, Lionberger R.","CPT Pharmacometrics Syst Pharmacol. 2017 Aug;6(8):523-531. doi: 10.1002/psp4.12198. Epub 2017 Jul 13.","Zhang X","CPT Pharmacometrics Syst Pharmacol","2017","2017/04/06","PMC5572358","","10.1002/psp4.12198"
